brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
Lenovo,ThinkPad E14 Gen 4,14 Inches,,256 GB,Core i5,8 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,$949.00 
Dell,Latitude Rugged Extreme 7220 Laptop,11.6 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,"$1,159.95 "
Lenovo,Lenovo Thinkpad,13.3 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,Intel UHD Graphics,1.8 GHz,,"$1,799.00 "
Dell,Latitude 5330 Laptop,13.3 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,$658.99 
Dell,Inspiron 7420 2-in-1,14 Inches,"Grey, Platinum Silver",512 GB,Core i7,16 GB,Windows 11 Home,,Integrated,Intel Integrated Graphics,,,$787.99 
Dell,Precision 5000,14 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,"InfinityEdge, Anti-glare Screen",RTX A1000,NVIDIA RTX A1000,,,"$2,508.39 "
HP,HP ENVY Laptop 13-aq0005nr,13.3 Inches,,256 GB,Intel Core i7,8 GB,Windows 10 Home,Fingerprint Reader,Integrated,Intel UHD Graphics 620,,4.1,"$1,399.00 "
Dell,Precision 7750 Laptop,17.3 Inches,Silver,1000 GB,Core i7,32 GB,Windows 10 Pro,Wifi & Bluetooth,Nvidia Quadro RTX 3000,,,,"$1,799.95 "
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5,"$1,599.00 "
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1,"$1,699.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
Dell,Precision 3000,,Black,,Core i7,16 GB,Windows 10 Pro,Microphone,,,,,"$1,790.16 "
Dell,Inspiron 3511,15.6 Inches,,1 TB,Core i5,64 GB,Windows 11 Pro,,Integrated,Intel UHD Graphics,1 GHz,,$753.11 
Dell,Latitude,15.6 Inches,Silver,1 TB,Core i7 Family,16 GB,Windows 11 Pro,"Backlit Kb,Fingerprint",Integrated,,,,"$1,169.77 "
Dell,Inspiron 3511 Laptop,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,$533.02 
Lenovo,20FN002JUS,14 Inches,Black,256 GB,Core i5,4 GB,Windows 10 DG Windows 7 Pro 64,"Backlit Keyboard,Fingerprint Reader","Integrated, Dedicated",,,3.7,$750.00 
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
Dell,XPS7390-7954SLV-PUS,13.4 Inches,Silver,512 GB,Core i7-1065G7,32 GB,Windows 10 Home,,Integrated,Intel® Iris Plus Graphics,,4,"$1,799.00 "
HP,EliteBook 860 G9,16 Inches,,256 GB,Core i5,16 GB,Windows 11 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,"$1,764.96 "
HP,16T-F100,16 Inches,Nocturne Blue,2 TB,Core i7 Family,16 GB,Windows 11 Pro,"Backlit Kb,Fingerprint,Pen",Integrated,,,5,"$1,899.00 "
HP,,15.6 Inches,,,,12 GB,Windows 11 Home,,Integrated,Intel HD Graphics 400,,,$470.04 
Dell,Latitude 3320 Laptop,13.3 Inches,Black,512 GB,Core i5,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,$730.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5,"$1,599.00 "
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1,"$1,699.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
Dell,Latitude 3320 Laptop,13.3 Inches,Black,512 GB,Core i5,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,$730.99 
Dell,LATITUDE 5580,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,Integrated,Integrated Graphics,,,$412.98 
HP,HP ProBook,13.3 Inches,,256 GB,,8 GB,Windows 10 Pro,,Integrated,AMD Radeon Pro 560,2.6 GHz,,$929.00 
acer,Predator Helios 300 PH315-54,15.6 Inches,Abyss Black,1 TB,Core i7 Family,16 GB,Windows 10 Pro,Multi-touch Gesture,GeForce RTX 3070,,,,"$1,829.99 "
Dell,Latitude 3420 Laptop,14 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,$672.99 
HP,HP EliteBook,14 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,,1.1 GHz,,"$2,799.00 "
Dell,Precision 7560 Laptop,15.6 Inches,Silver,1000 GB,Core i9,32 GB,Windows 10 Pro,Wifi & Bluetooth,Nvidia T1200,,,,"$4,000.00 "
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ASUS,GU502LV-BI7N8,15.6 Inches,Black,1 TB,Corei7-10750H,16 GB,Windows 10,"Anti-glare,Narrow Bezel",Dedicated,,,3.4,"$2,299.00 "
HP,ELITEBOOK 820G3,12.5 Inches,Black,1000 GB,Core i5,16 GB,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,,$322.98 
MSI,GS75 STEALTH-242,17.3 Inches,,1 TB,Core i7,32 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 2080,2.6 GHz,5,"$3,399.00 "
Lenovo,ThinkPad P15 Gen 1,15.6 Inches,Black,1 TB,Core i9,64 GB,Windows 10 Pro,,"Quadro RTX 4000 with Max-Q Design, 8GB GDDR6",NVIDIA Quadro RTX 4000 with Max-Q Design 8GB GDDR6,,,"$3,799.00 "
acer,Acer Swift,15.6 Inches,Black,256 GB,Ryzen 7 2700U,8 GB,Windows 10 Home,,Dedicated,AMD Radeon RX 540,,4,"$1,399.00 "
Dell,Latitude 7330 Laptop,13.3 Inches,Carbon Fiber,256 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,$843.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5,"$1,599.00 "
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1,"$1,699.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
Dell,Dell Inspiron,15.6 Inches,Black,256 GB,Celeron N4020,8 GB,Windows 10,,Integrated,Intel UHD Graphics,,4.2,$877.99 
Dell,G15,15.6 Inches,Phantom Grey with speckles,1024 GB,AMD Ryzen 7,32 GB,Windows 10 Home,"Anti- Glare,Backlit Keyboard.tikbot",Dedicated,,,3.7,"$1,429.99 "
Dell,Precision 7760 Laptop,17.3 Inches,Silver,1000 GB,Core i7,32 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,"$1,778.99 "
Dell,V3500,15.6 Inches,Black,512 GB,Core i7 Family,16 GB,Windows 10,,Integrated,Intel Iris Xe Graphics,,4,$943.69 
Dell,Alienware m18 Laptop,18 Inches,Black,1000 GB,Core i9,64 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 4080,,,"$2,925.65 "
Lenovo,Lenovo Ideapad,14 Inches,Black,500 GB,Pentium,4 GB,Windows 10,,Integrated,Intel HD Graphics 610,,3.3,$377.91 
Dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,1000 GB,Core i9,64 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,,"$3,182.99 "
Dell,Vostro 7620,16 Inches,Black,2 TB,Core i7 Family,8 GB,Windows 11 Pro,"Fingerprint Reader, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,,"$1,421.99 "
Dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,2000 GB,Core i9,64 GB,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 3080,,,"$3,329.99 "
ASUS,UX533FD-DH74,15.6 Inches,Royal Blue,512 GB,Core i7,8 GB,Windows 10 Home,Nanoedge Bezel,Dedicated,,,4,"$1,999.00 "
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
Dell,Inspiron,15.6 Inches,Black,1 TB,Core i5 Family,16 GB,Windows 11 Home,,Integrated,Intel Iris Xe Graphics,,3.5,$649.99 
ROKC,,15.6 Inches,Gray,640 GB,Athlon Silver 3050U,20 GB,Windows 11,,Integrated,AMD,2.3 GHz,3,$389.99 
Dell,Inspiron 7420 2-in-1,14 Inches,"Grey, Platinum Silver",512 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,$823.99 
Dell,Alienware m18 Laptop,18 Inches,Black,512 GB,Core i9,64 GB,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 4070,,,"$2,693.24 "
Dell,XPS 9530 Laptop,15.6 Inches,Platinum Silver,2000 GB,Core i9,64 GB,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 4070,,,"$3,034.99 "
SHOXLAB,M17R3,17.3 Inches,Dark Side of the Moon with High Endurance Clear Coat and Silky Smooth Finish,1 TB,Corei7-10750H,32 GB,Windows 10,,Dedicated,GeForce RTX 2060,,4.7,"$2,299.95 "
Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,256 GB,Core i7,16 GB,Windows 11 Home,Wifi & Bluetooth,Integrated,,,,"$1,030.99 "
Dell,Latitude 7420 Laptop,14 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,"$1,056.99 "
HP,ELITEBOOK 840G1,14 Inches,Black,1000 GB,Core i7,16 GB,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,Integrated,Integrated Graphics,,,$319.98 
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5,"$1,599.00 "
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1,"$1,699.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
LENOVO,Slim 7,16 Inches,Stormy Grey,1 TB,Core i7 Family,16 GB,Windows 11 Pro,"HD Audio, Backlit Keyboard, Memory Card Slot, Numeric Keypad",Dedicated,,,,"$1,304.10 "
ASUS,ROG Zephyrus S GX701,17.3 Inches,Black,1 TB,Core i7,16 GB,Windows 10 Pro,,Dedicated,NVIDIA GeForce RTX 2080,,4,"$3,399.00 "
Dell,5401,14 Inches,Gray,256 GB,Core i5 Family,8 GB,Windows 10 Pro,Fingerprint Reader,Integrated,,,5,"$1,499.00 "
Dell,7404-i5-8-256-1.9-W10P,14 Inches,,256 GB,Intel Core i5-4200U,8 GB,Windows 10 Pro,,Integrated,Integrated Intel HD Graphics,1.9 GHz,3.7,$899.95 
Dell,Inspiron 3000,15.6 Inches,,1 TB,Core i5 Family,32 GB,Windows 11 Home,,Integrated,Intel UHD Graphics,1 GHz,,$975.00 
HP,HP Spectre,15.6 Inches,Silver,1 TB,Core i7,16 GB,Windows 11,,Integrated,Intel Iris Xe Graphics,,,"$2,199.00 "
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
Dell,Latitude 5530 Laptop,15.6 Inches,Black,256 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,"$1,162.99 "
HP,,,,,,16 GB,Windows 11 Pro,,Integrated,,,,"$1,462.07 "
GizPro,HP EliteBook,14 Inches,Black,256 GB,Core i7,32 GB,Windows 10 Pro,Anti-glare,Integrated,,,2.5,"$2,699.00 "
Dell,Alienware m16 Laptop,16 Inches,Black,1000 GB,Core i9,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4080,,,"$2,720.99 "
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5,"$1,599.00 "
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1,"$1,699.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
Dell,Latitude 5431 Laptop,14 Inches,Black,512 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,"$1,009.99 "
ASUS,ASUS VivoBook,15.6 Inches,Silver,512 GB,Core i5 Family,8 GB,Windows 10,"Backlit Keyboard,Fingerprint Reader,Full Hd Anti-glare",Dedicated,,,5,"$1,199.00 "
Dell,Latitude 5440 Laptop,14 Inches,Black,1000 GB,Core i7,64 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,"$1,470.99 "
Dell,3593,15.6 Inches,,256 GB,Core i3 Family,16 GB,Windows 11 Home,Anti-glare,Integrated,Intel UHD Graphics,,4.5,$508.99 
HP,Spectre,16 Inches,Blue,1 TB,Core i7 Family,16 GB,Windows 11 Home,"Backlit Keyboard,Pen",Integrated,,,1,"$1,351.42 "
HP,3V2U0UT#ABA,14 Inches,,32 GB,Intel Celeron D,4 GB,Chrome OS,,Integrated,Intel HD Graphics 400,2.8 GHz,4,$473.22 
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
Dell,Dell Latitude,15.6 Inches,Silver,512 GB,Core i7 Family,32 GB,Windows 10 Pro,Anti-glare,Integrated,,,,"$1,764.99 "
Dell,Dell Inspiron,15.6 Inches,Black,1 TB,Celeron N,16 GB,Windows 10 Home,,Intel UHD Graphics,Intel UHD Graphics,,3.6,$919.99 
Dell,Dell XPS 15 9520,15.6 Inches,Silver,4 TB,Core i7,64 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,"$2,828.99 "
MAINGEAR,Vector pro,17.3 Inches,,1 TB,Core i7,32 GB,Windows 10,,Dedicated,NVIDIA GeForce RTX 3080,,3.7,"$2,000.07 "
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5,"$1,599.00 "
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1,"$1,699.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
Dell,Dell Latitude,13.3 Inches,,256 GB,Core i5,8 GB,Windows 10 Pro,,Integrated,Intel Iris,2.6 GHz,,$680.00 
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
Dell,Precision 5550 Laptop,15.6 Inches,Silver,512 GB,Core i7,16 GB,Windows 10 Pro,Wifi & Bluetooth,Nvidia Quadro T2000,,,5,"$2,500.00 "
Dell,Dell Latitude,15.6 Inches,,500 GB,Core i5,8 GB,Windows 10 Pro,Fingerprint Reader,Integrated,Intel UHD Graphics 620,,1,$959.99 
LG,16Z90Q-N.APB7U1,16 Inches,,1 TB,Core i7,16 GB,Windows 11 Pro,,Integrated,,4.7,,"$1,299.99 "
Dell,Dell Inspiron,16 Inches,,,Core I7 11800H,32 GB,Windows 10 Home,"Backlit Keyboard,Fingerprint Reader",,,4.6 GHz,3.7,"$1,599.00 "
Lenovo,,13.3 Inches,,256 GB,,8 GB,Windows 10,,Integrated,,,,$800.00 
Dell,Dell XPS 13 9380,13.3 Inches,Silver,,Intel Core i7,8 GB,Windows 10 Home,,Integrated,Intel UHD Graphics 620,2133 MHz,3.9,"$1,087.37 "
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5,"$1,599.00 "
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1,"$1,699.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,128 GB,Core i7,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,5,"$1,568.39 "
MSI,Katana GF66 11UE-856,15.6 Inches,Black,,Core i7,16 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3060,4.6 GHz,,"$1,299.00 "
Dell,Latitude 7430 Laptop,14 Inches,Aluminum,512 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,"$1,513.99 "
Dell,Precision 3570 Laptop,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,$975.99 
Dell,G16 7630 Laptop,16 Inches,Gray,1000 GB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,,,"$1,681.34 "
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5,"$1,599.00 "
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1,"$1,699.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
Dell,Latitude 5320 Laptop,13.3 Inches,Black,2000 GB,Core i7,32 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,"$1,074.99 "
acer,PT515-51-75L8,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce RTX 2080,,3.9,"$3,399.00 "
Dell,Inspiron 3515,15.6 Inches,,256 GB,Ryzen 5,12 GB,Windows 11 Pro,Anti-glare,Integrated,,,4.5,$981.99 
Dell,Latitude 5000,13.3 Inches,,512 GB,Core i7 Family,16 GB,Windows 10 Pro,Anti-glare Screen,Iris Xe Graphics,Intel Iris Xe Graphics,,,"$1,273.99 "
Dell,Precision 7770 Laptop,17.3 Inches,Silver,2000 GB,Core i7,32 GB,Windows 11 Pro,,Dedicated,Nvidia RTX A1000,,,"$2,359.99 "
Dell,Latitude 7320 Laptop,13.3 Inches,Black,1000 GB,Core i7,32 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,$966.99 
Lenovo,ThinkPad E590,15.6 Inches,Black,512 GB,Core i7 8550U,16 GB,Windows 10,,Integrated,Intel UHD Graphics 620,,4.5,$749.95 
ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,5,$389.99 
HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.7,$389.99 
HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,4.4,$459.99 
Dell,Latitude,15.6 Inches,Gray,1 TB,Intel Core i5-1135G7,32 GB,Windows 10 Pro,Backlit Keyboard,Integrated,,,,"$1,499.00 "
Dell,Dell Precision 7560 Laptop,15.6 Inches,Silver,2 TB,Intel Core i7,64 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForcer A3000,,,"$2,376.99 "
Dell,Alienware X17 R1 Laptop,17.3 Inches,Lunar Light,2000 GB,Core i7,64 GB,Windows 10 Pro,Wifi & Bluetooth,Nvidia GeForce RTX 3080,,,,"$3,140.99 "
HP,CK1065,17.3 Inches,Shadow Black,2 TB,Core i7 Family,64 GB,Windows 11 Pro,Backlit Kb,Dedicated,,,,"$2,719.00 "
MSI,Summit E15 A11SCST-461,15.6 Inches,Ink Black,1 TB,Core i7 Family,16 GB,Windows 10 Pro,Thin Bezel,Dedicated,,,,"$1,799.00 "
Dell,Alienware m15 R7 Laptop,15.6 Inches,Dark Side of the Moon,512 GB,Core i9,16 GB,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 3080,,,"$2,192.99 "
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,$999.99 
ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,,$639.99 
DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,,$899.99 
MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5,"$1,599.00 "
MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1,"$1,699.00 "
ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,,$589.99 
Dell,Inspiron 3521 Laptop,15.6 Inches,"Silver, Black",128 GB,,4 GB,Windows 11 Home,,Integrated,Intel Integrated Graphics,,,$334.99 
